"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"81",8,"Malik Washington",MIA,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-9"
"82",8,"Jalen Nailor",LV,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-18"
"83",8,"Antonio Williams",WAS,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-16"
"84",8,"Tank Dell",HOU,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+1"
"85",8,"Rashod Bateman",BAL,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+25"
"86",8,"Cooper Kupp",SEA,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-4"
"87",8,"De'Zhaun Stribling",SF,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-12"
"88",8,"Germie Bernard",PIT,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-11"
"89",8,"Jack Bech",LV,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+47"
"90",8,"Chris Bell",MIA,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-12"
"",8
"91",8,"Zachariah Branch",ATL,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-12"
"92",8,"Keon Coleman",BUF,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+2"
"93",8,"Christian Kirk",SF,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-10"
"94",8,"Marvin Mims Jr.",DEN,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+49"
"95",8,"Tory Horton",SEA,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+26"
"96",8,"Ted Hurst III",TB,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-8"
"97",8,"Kyle Williams",NE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+48"
